answer_body,truth,answer_id
"['A ""race condition"" exists when multithreaded (or otherwise parallel) code that would access a shared resource could do so in such a way as to cause unexpected results.', 'Take this example:', 'If you had 5 threads executing this code at once, the value of x WOULD NOT end up being 50,000,000.', 'It would in fact vary with each run.', 'This is because, in order for each thread to increment the value of x, they have to do the following: (simplified, obviously)', 'Any thread can be at any step in this process at any time, and they can step on each other when a shared resource is involved.', 'The state of x can be changed by another thread during the time between x is being read and when it is written back.', ""Let's say a thread retrieves the value of x, but hasn't stored it yet."", 'Another thread can also retrieve the same value of x (because no thread has changed it yet) and then they would both be storing the same value (x+1) back in x!', 'Example:', 'Race conditions can be avoided by employing some sort of locking mechanism before the code that accesses the shared resource:', 'Here, the answer comes out as 50,000,000 every time.', 'For more on locking, search for: mutex, semaphore, critical section, shared resource.']","[0,10]",34745
"['To list installed Python packages, you can use <code>yolk -l</code>.', ""You'll need to use <code>easy_install yolk</code> first though.""]",[0],4320437
"['The <code>foreach</code> is for iterating over collections that implement <code>IEnumerable</code>.', 'It does this by calling <code>GetEnumerator</code> on the collection, which will return an <code>Enumerator</code>.', 'This Enumerator has a method and a property:', '<li>MoveNext()', '<li>Current', '<code>Current</code> returns the object that Enumerator is currently on, <code>MoveNext</code> updates <code>Current</code> to the next object.', 'Obviously, the concept of an index is foreign to the concept of enumeration, and cannot be done.', 'Because of that, most collections are able to be traversed using an indexer and the for loop construct.', 'I greatly prefer using a for loop in this situation compared to tracking the index with a local variable.']","[0, 1, 7]",43029
"['Use <code>console.log</code> to add debugging information to your page.', 'Many people use <code>alert(hasNinjas)</code> for this purpose but <code>console.log(hasNinjas)</code> is easier to work with.', 'Using an alert pop-ups up a modal dialog box that blocks the user interface.', ""Edit: I agree with Baptiste Pernet and Jan HanÃ¨ÂÂ·iÃ¨Â?that it is a very good idea to check if <code>window.console</code> is defined first so that your code doesn't break if there is no console available.""]",[0],4539286
"['Most of the times these terms Web Server and Application server are used interchangeably.', 'Following are some of the key differences in features of Web Server and Application Server:', '<li>Web Server is designed to serve HTTP Content.', 'App Server can also serve HTTP Content but is not limited to just HTTP.', 'It can be provided other protocol support such as RMI/RPC', '<li>Web Server is mostly designed to serve static content, though most Web Servers have plugins to support scripting languages like Perl, PHP, ASP, JSP etc.', 'through which these servers can generate dynamic HTTP content.', '<li>Most of the application servers have Web Server as integral part of them, that means App Server can do whatever Web Server is capable of.', 'Additionally App Server have components and features to support Application level services such as Connection Pooling, Object Pooling, Transaction Support, Messaging services etc.', '<li>As web servers are well suited for static content and app servers for dynamic content, most of the production environments have web server acting as reverse proxy to app server.', 'That means while servicing a page request, static contents (such as images/Static HTML) are served by web server that interprets the request.', 'Using some kind of filtering technique (mostly extension of requested resource) web server identifies dynamic content request and transparently forwards to app server', 'Example of such configuration is Apache Tomcat HTTP Server and Oracle (formerly BEA) WebLogic Server.', 'Apache Tomcat HTTP Server is Web Server and Oracle WebLogic is Application Server.', 'In some cases the servers are tightly integrated such as IIS and .NET Runtime.', 'IIS is web server.', 'When equipped with .NET runtime environment, IIS is capable of providing application services.']","[0, 2, 3, 5, 6, 7, 9]",936257
"['For a happy medium between a 232 lookup table and iterating through each bit individually:', 'From http://ctips.pbwiki.com/CountBits']",[0],2631071
"['use fire FTP,Krusader...']",[0],2871374
"['It sounds like IIS is listening to port 80 for HTTP requests.', 'Try stopping IIS by going into Control Panel/Administrative Tools/Internet Information Services, right-clicking on Default Web Site, and click on the Stop option in the popup menu, and see if the listener on port 80 has cleared.']","[0,1]",1430147
"[""Jane Dallaway's stored procedure: http://docs.google.com/leaf?id=0B_AkC4ZdTI9tNWVmZWU3NzAtMWY1My00NjgwLWI3ZjQtMTY1NDMxYzBhYzgx&amp;hl=en_GB."", 'Documentation is a series of blog posts: https://www.google.com/search?q=spu_generateinsert&amp;as_sitesearch=http%3A%2F%2Fjane.dallaway.com']",[0],1284520
"['AFAIK you would have to do a .load() function here as apposed to the .ajax(), but you could use jQuery setTimeout to keep it live (ish)']",[0],4285059
"['You need to use', 'To get the <code>^M</code> character, press Ctrl v followed by Enter']",[1],2082624
"['It is a function that will halt program execution if the value it has evaluated is false.', 'Usually it is surrounded by a macro so that it is not compiled into the resultant binary when compiled with release settings.', 'It is designed to be used for testing the assumptions you have made.', 'For example:', 'BIGBLOCK', 'The ideal you want is that you can make an error in your program, like calling a function with invalid arguments, and you hit an assert before it segfaults (or fails to work as expected)']","[0, 2, 5]",1571376
"['POSIX is:', 'POSIX (pronounced /Ã¨ÂÂpÃ¨ÂÂ²zÃ§ÂÂks/) or  ""Portable Operating System Interface  [for Unix]""1 is the name of a family  of related standards specified by the  IEEE to define the application  programming interface (API), along  with shell and utilities interfaces  for software compatible with variants  of the Unix operating system, although  the standard can apply to any  operating system.', 'Basically it was a set of measures to ease the pain of development and usage of different flavours of UNIX by having a (mostly) common API and utilities.', 'Limited POSIX compliance also extended to various versions of Windows.']",[2],1780608
"['Thoughts (based on pain in the past):', '<li>do you have DNS and line-of-sight to the server?', '<li>are you using the correct name from the certificate?', '<li>is the certificate still valid?', '<li>is a badly configured load balancer messing things up?', '<li>does the new server machine have the clock set correctly (i.e.', 'so that the UTC time is correct [ignore local time, it is largely irrelevent]) - this certainly matters for WCF, so may impact regular SOAP?', '<li>is there a certificate trust chain issue?', 'if you browse from the server to the soap service, can you get SSL?', '<li>related to the above - has the certificate been installed to the correct location?', '(you may need a copy in Trusted Root Certification Authorities)', ""<li>is the server's machine-level proxy set correctly?"", ""(which different to the user's proxy); see proxycfg for XP / 2003 (not sure about Vista etc)""]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",703285
"['<em>Note, this answer is for Python 2.x as it was written in 2008, metaclasses are slightly different in 3.x, see the comments.</em>', ""Metaclasses are the secret sauce that make 'class' work."", ""The default metaclass for a new style object is called 'type'."", 'Metaclasses take 3 args.', ""'<strong>name</strong>', '<strong>bases</strong>' and '<strong>dict</strong>'"", 'Here is where the secret starts.', 'Look for where name, bases and the dict come from in this example class definition.', ""Lets define a metaclass that will demonstrate how '<strong>class:</strong>' calls it."", 'And now, an example that actually means something, this will automatically make the variables in the list ""attributes"" set on the class, and set to None.', ""Note that the magic behaviour that 'Initalised' gains by having the metaclass <code>init_attributes</code> is not passed onto a subclass of Initalised."", ""Here is an even more concrete example, showing how you can subclass 'type' to make a metaclass that performs an action when the class is created."", 'This is quite tricky:']","[1, 2, 3, 4]",100037
"[""if your value is a pure text (like 'test') you could use the text() method as well."", 'like this:', 'BIGBLOCK', 'anyway, about the problem you are sharing, I think you might be calling the JavaScript code before the HTML code for the DIV is being sent to the browser.', 'make sure you are calling the jQuery line in a &lt;script&gt; tag after the &lt;div&gt;, or in a statement like this:', 'BIGBLOCK', 'this way the script executes after the HTML of the div is parsed by the browser.']","[0, 4, 5]",1570933
"['Yes; the Objective-C method syntax is like this for a couple of reasons; one of these is so that it is clear what the parameters you are specifying are.', 'For example, if you are adding an object to an <code>NSMutableArray</code> at a certain index, you would do it using the method:', 'BIGBLOCK', 'This method is called <code>insertObject:atIndex:</code> and it is clear that an object is being inserted at a specified index.', 'In practice, adding a string ""Hello, World!""', 'at index 5 of an <code>NSMutableArray</code> called <code>array</code> would be called as follows:', 'BIGBLOCK', 'This also reduces ambiguity between the order of the method parameters, ensuring that you pass the object parameter first, <em>then</em> the index parameter.', 'This becomes more useful when using functions that take a large number of arguments, and reduces error in passing the arguments.', ""Furthermore, the method naming convention is such because Objective-C doesn't support overloading; however, if you want to write a method that does the same job, but takes different data-types, this can be accomplished; take, for instance, the <code>NSNumber</code> class; this has several object creation methods, including:"", '<li><code>+ (id)numberWithBool:(BOOL)value;</code>', '<li><code>+ (id)numberWithFloat:(float)value;</code>', '<li><code>+ (id)numberWithDouble:(double)value;</code>', 'In a language such as C++, you would simply overload the number method to allow different data types to be passed as the argument; however, in Objective-C, this syntax allows several different variants of the same function to be implemented, by changing the name of the method for each variant of the function.']","[0, 7, 13]",722744
"['According to wikipedia:', 'A segmentation fault occurs when a', '  program attempts to access a memory', '  location that it is not allowed to', '  access, or attempts to access a memory', '  location in a way that is not allowed', '  (for example, attempting to write to a', '  read-only location, or to overwrite', '  part of the operating system).']","[1,2,3,4,5,6,7,8]",2346829
"['I like to use Url.Action() and Url.Content() like this:', 'Strictly speaking, the Url.Content is only needed for pathing is not really part of the answer to your question.', 'Thanks to @BrianLegg for pointing out that this should use the new Razor view syntax.', 'Example has been updated accordingly.']",[0],2774216
"['Imagine what happens if x[l] is neither 0 nor 1 in the loop.', 'In that case a and b will never be assigned to and have an undefined value.You must initialize them both with some value, for example 0.']",[1],2448867
"[""In terms of pattern interpretation, there's no difference between the following forms:"", '<li><code>/pattern/</code>', '<li><code>new RegExp(""pattern"")</code>', 'If you want to replace a literal string using the <code>replace</code> method, I think you can just pass a string instead of a regexp to <code>replace</code>.', ""Otherwise, you'd have to escape any regexp special characters in the pattern first - maybe like so:"", 'BIGBLOCK']",[3],1162667
"['if the content of foo.py', '<strong>A file foo.py can be used in two ways.</strong>', '<li>imported in another file : <code>import foo</code>', 'In this case <code>__name__</code> is <code>foo</code>, the code section does not get executed and does not print <code>XXXX</code>.', '<li>executed directly : <code>python foo.py</code>', 'When it is executed directly, <code>__name__</code> is same as <code>__main__</code> and the code in that section is executed and prints <code>XXXX</code>', 'One of the use of this functionality to write various kind of unit tests within the same module.']","[1, 2, 3, 4]",4041260
"[""Here's a generator that yields the chunks you want:"", ""If you're using Python 2, you should use <code>xrange()</code> instead of <code>range()</code>:"", 'Also you can simply use list comprehension instead of writing a function.', 'Python 3:', 'Python 2 version:']","[1, 3]",312464
"['Probably the easiest way:', 'BIGBLOCK']","[0, 1]",2428590
"['A user defined type that has the possible values of <code>kCircle</code>, <code>kRectangle</code>, or <code>kOblateSpheroid</code>.', 'The values inside the enum (kCircle, etc) are visible outside the enum, though.', ""It's important to keep that in mind (<code>int i = kCircle;</code> is valid, for example).""]",[0],707524
"[""Adding to Mike McAllister's pretty-thorough answer..."", 'Materialized views can only be set to refresh <em>automatically</em> through the database detecting changes when the view query is considered <strong>simple</strong> by the compiler.', ""If it's considered too complex, it won't be able to set up what are essentially internal triggers to track changes in the source tables to only update the changed rows in the mview table."", ""When you create a materialized view, you'll find that Oracle creates both the mview <strong>and as a table with the same name</strong>, which can make things confusing.""]",[1],410424
"['Those access modifiers specify where your members are visible.', 'You should probably read this up.', 'Take the link given by IainMH as a starting point.', 'Static members are one per class and not one per instance.']","[0, 3]",614837
"[""I don't think there would be an automatic way."", 'You might also want to add a page number to the appendix correctly.', ""Assuming that you already have your pdf document of several pages, you'll have to extract each page first of your pdf document using Adobe Acrobat Professional for instance and save each of them as a separate pdf file."", ""Then you'll have to include each of the the pdf documents as images on an each page basis (1 each page) and use newpage between each page e,g,"", ""Now each page will appear with 1 pdf image per page and you'll have a correct page number at the bottom."", ""As shown in my example, you'll have to play a bit with the scale factor for each image to get it in the right size that will fit on a single page."", 'Hope that helps...']",[],2740296
"[""No, you can't return multiple values from a function in C# (for versions lower than C# 7), at least not in the way you can do it in Python."", 'However, there are a couple alternatives:', 'You can return an array of type object with the multiple values you want in it.', 'You can use <code>out</code> parameters.']","[2,3]",748096
"[""Even though SQLMenace's answer has been accepted, there is one important <code>SET</code> option you should be aware of"", 'SET DATEFIRST', 'DATENAME will return correct date <em>name</em> but not the same DATEPART value if the first day of week has been changed as illustrated below.']",[0],1113891
"[""It's a horribly obscure way to do a type conversion."", '<code>!</code> is NOT.', 'So <code>!true</code> is <code>false</code>, and <code>!false</code> is <code>true</code>.', '<code>!0</code> is <code>true</code>, and <code>!1</code> is <code>false</code>.', ""So you're converting a value to a boolean, then inverting it, then inverting it again.""]",[4],1406618
"['You can use <code>&amp;apos;</code> (which is iffy in IE) or <code>&amp;#39;</code> (which should work everywhere).', 'For a comprehensive list, see the W3C HTML5 Named Character References or the HTML entities table on WebPlatform.org.']",[0],2428595
"['I put this <code>timing.py</code> module into my own <code>site-packages</code> directory, and just insert <code>import timing</code> at the top of my module:', 'I can also call <code>timing.log</code> from within my program if there are significant stages within the program I want to show.', 'But just including <code>import timing</code> will print the start and end times, and overall elapsed time.', '(Forgive my obscure <code>secondsToStr</code> function, it just formats a floating point number of seconds to hh:mm:ss.sss form.)', 'Note: A Python 3 version of the above code can be found here or here.']","[0, 4]",1557906
"['Unfortunately the <code>opacity</code> element makes the whole element (including any text) semi-transparent.', 'The best way to make the border semi-transparent is with the rgba color format.', 'For example, this would give a red border with 50% opacity:', 'The problem with this approach is that some browsers do not understand the <code>rgba</code> format and will not display any border at all if this is the entire declaration.', 'The solution is to provide two border declarations.', 'The first with a fake opacity, and the second with the actual.', 'If a browser is capable, it will use the second, if not, it will use the first.', 'The first border declaration will be the equivalent color to a 50% opaque red border over a white background (although any graphics under the border will not bleed through).', 'UPDATE: I\'ve added ""background-clip: padding-box;"" to this answer (per  SooDesuNe\'s suggestion in the comments) to ensure the border remains transparent even if a solid background color is applied.']",[1],4062032
"['I use this on my ubuntu machines:', ""This doesn't work.""]",[0],3177266
"['It is 253 == 9 007 199 254 740 992.', 'This is because <code>Number</code>s are stored as floating-point in a 52-bit mantissa.', 'The min value is -253.', 'This makes some fun things happening', 'And can also be dangerous :)', 'Further reading: http://blog.vjeux.com/2010/javascript/javascript-max_int-number-limits.html']",[0],4375743
"['Switch to Header/Source File', '<li><strong>View</strong> > <strong>Switch to Header/Source File</strong>', 'Switches between the <code>.m</code> and <code>.h</code> files.']","[0, 1, 2]",146760
"['They are functionally equivalent, but <code>INNER JOIN</code> can be a bit clearer to read, especially if the query has other join types (i.e.', '<code>LEFT</code> or <code>RIGHT</code> or <code>CROSS</code>) included in it.']","[0,1]",565640
"[""I'd create the array and then append the object literals to it.""]",[],1290140
"['I see two possibilities for what you are trying to do:', '<li>You want your webpage, running on a server, to find the file on the computer that you originally designed it?', '<li>You want it to fetch it from the pc that is viewing at the page?', ""Option 1 just doesn't make sense :)"", ""Option 2 would be a security hole, the browser prohibits a web page (served from the web) from loading content on the viewer's machine."", 'Kyle Hudson told you what you need to do, but that is so basic that I find it hard to believe this is all you want to do.']","[1, 2, 3, 4]",4091030
"['When you inline an initial value for a variable it will be done implicitly in the constructor anyway.', 'I would argue that this syntax was best practice in C# up to 5:', 'As this gives you clear control of the order values are assigned.', 'As of C#6 there is a new way:']","[1, 3]",43594
"['You can also use the <code>split</code> method of String:', 'BIGBLOCK', 'This gives you all lines in a handy array.', ""I don't know about the performance of split."", 'It uses regular expressions.']","[0, 1, 4]",1096633
"[""Yeah, you'd need to have a javascript function triggered by an onclick that does an AJAX load of a page and then returns false, that way they won't be redirected in the browser."", ""You could use the following in jQuery, if that's acceptable for your project:"", 'BIGBLOCK', 'You could also do a post-back if you need to use form values (use the $.post() method).']","[1, 2]",1280779
"['<strong>Edit: As of iOS 3.2, this functionality is built in.', 'If you need to support pre-3.2, you can still use this solution.</strong>', 'I created a simple module that extends <code>UILabel</code> and handles loading .ttf files.', 'I released it opensource under the Apache license and put it on github Here.', 'The important files are <code>FontLabel.h</code> and <code>FontLabel.m</code>.', ""It uses some of the code from Genericrich's answer."", 'Browse the source Here.', 'OR', '<li>Copy your font file into resources', '<li>Add a key to your <code>Info.plist</code> file called UIAppFonts.', '(""Fonts provided by application)', '<li>Make this key an array', '<li>For each font you have, enter the full name of your font file (including the extension) as items to the UIAppFonts array', '<li>Save <code>Info.plist</code>',  'For More Information']","[0, 1, 2, 8, 9, 10, 11, 12, 13, 14]",809307
"[""To my knowledge, the surefire plugin doesn't provide any way to do this."", 'But feel free to open an issue :)']",[0],2790272
"[""Give the window a 'specs' parameter with width/height."", 'See here for all the possible options.', 'When you specify a width/height, it will open it in a new window instead of a tab.']",[0],726803
"['Yes.', 'For VB6, VBA (Excel), and VB.NET']",[1],915333
"['<li>Go to the Build Path settings in the project properties.<code>Windows -&gt; Preferences -&gt; Java Compiler</code>', '<li>Remove the JRE System Library', '<li>Add another JRE with a ""perfect match""', '<li>clean and build your project again.', 'It worked for me.']","[0, 1, 2, 3]",1025426
"['One gotcha is that the following is implementation dependent (according to the ANSI standard):', 'x can now be 127 (01111111) or still -1 (11111111).', ""In practice, it's usually the latter.""]","[0, 1]",141645
"[""It's been pointed out that the last <code>d</code> digits of a perfect square can only take on certain values."", 'The last <code>d</code> digits (in base <code>b</code>) of a number <code>n</code> is the same as the remainder when <code>n</code> is divided by <code>b</code><code>d</code>, ie.', 'in C notation <code>n % pow(b, d)</code>.', 'This can be generalized to any modulus <code>m</code>, ie.', '<code>n % m</code> can be used to rule out some percentage of numbers from being perfect squares.', 'The modulus you are currently using is 64, which allows 12, ie.', '19% of remainders, as possible squares.', 'With a little coding I found the modulus 110880, which allows only 2016, ie.', '1.8% of remainders as possible squares.', 'So depending on the cost of a modulus operation (ie.', 'division) and a table lookup versus a square root on your machine, using this modulus might be faster.', ""By the way if Java has a way to store a packed array of bits for the lookup table, don't use it."", '110880 32-bit words is not much RAM these days and fetching a machine word is going to be faster than fetching a single bit.']","[1, 2, 8, 9, 10, 12]",327134
"['PHP Solution', ""Borrowing directly from Gordon's very comprehensive answer, I note that your question mentions being page-specific in forcing HTTPS/SSL connections."", 'BIGBLOCK', 'Then, as close to the top of these pages which you want to force to connect via PHP, you can <code>require()</code> a centralised file containing this (and any other) custom functions, and then simply run the <code>forceHTTPS()</code> function.', 'HTACCESS / mod_rewrite Solution', ""I have not implemented this kind of solution personally (I have tended to use the PHP solution, like the one above, for it's simplicity), but the following may be, at least, a good start."", 'BIGBLOCK']","[0, 1, 4, 5]",4400306
"['You want to loop on the .Rows, and access the column for the row like q(""column"")', 'Just:', 'BIGBLOCK', 'Also make sure to check msdn doc for any class you are using + use intellisense']","[0, 2]",613547
"['Heres an example of a reverse proxy (as a load balancer).', 'A client surfs to website.com and the server it hits has a reverse proxy running on it.', 'The reverse proxy happens to be pound.', 'Pound takes the request and sends it to one of the three application servers sitting behind it.', 'In this example Pound is a load balancer.', 'ie.', 'it is balancing load between three application servers.', 'The application servers serve up the website content back to the client.']",[],1058249
"['A C#-like solution is JaQue, which provides Expression Trees for Java Lambdas.', 'On top of this can be implemented domain specific LINQ providers.']",[0],2251631
"['try using', 'BIGBLOCK', ""also make sure that the layout params you're creating are LinearLayout.LayoutParams...""]","[0, 1]",3205331
"['In your action method, return Json(object) to return JSON to your page.', 'Then just call the action method using Ajax.', 'You could use one of the helper methods from the ViewPage such as', 'SomeMethod would be a javascript method that then evaluates the Json object returned.', 'If you want to return a plain string, you can just use the ContentResult:', 'ContentResult by default returns a text/plain as its contentType.', 'This is overloadable so you can also do:']",[0],227638
"['You can use the code from this question: How can I save a screenshot directly to a file in Windows?', 'Just change <code>WIN32_API.GetDesktopWindow()</code> to the Handle property of the window you want to capture.']","[0, 1]",1163771
"['Assert allows you to halt execution if a condition (assertion) is false.', 'For instance (Pseudocode):', 'BIGBLOCK', 'If myBank is NULL, the function will stop execution, and an error produced.', 'This is very good for making certain reusable code accept correct conditions, etc.']","[0, 4]",1571368
"['Jeff Atwood has a post on this here: http://www.codinghorror.com/blog/archives/000229.html', 'He eventually went with Edit Pad Pro, because ""Based on my prior usage history, I felt that EditPad Pro was the best fit: it\'s quite fast on large text files, has best-of-breed regex support, and it doesn\'t pretend to be an IDE.""']",[1],102889
"['What you ask for should be reasonably straightforward in jQuery-', 'BIGBLOCK', 'The best way that I can think of highlighting inserted text is by wrapping it in a span with a CSS class with <code>background-color</code> set to the color of your choice.', 'On the next insert, you could remove the class from any existing spans (or strip the spans out).', ""However, There are plenty of free WYSIWYG HTML/Rich Text editors available on the market, I'm sure one will fit your needs"", '<li><strong>TinyMCE</strong> - JavaScript WYSIWYG editor', '<li><strong>Rich Text Editor</strong> - YUI Library', '<li><strong>10 jQuery and Non-jQuery JavaScript Rich Text Editors</strong>']","[2, 3, 5, 6, 7]",946805
"[""It's very simple."", 'JSON stands for Java Script Object Notation.', 'Think of it as an alternative to using XML for transferring data between software components.', 'For example, I recently wrote a bunch of web services that returned JSON, and some Javascript developers then wrote code which called the services and consumed the information returned in that format.']","[1,2]",1044504
"['<code>console.log</code> has nothing to do with jQuery.', 'It logs a message to a debugging console, such as Firebug.']",[0],4539268
